SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
FFTI00IAF;70878,15;3,84;97,47;96,16;1189,18;11,68
FHOD96CFO;4239,97;0,0;100,0;100,0;1345,68;97,67
FILI14GUK;116762,01;0,0;100,0;100,0;3808,02;9,71
FINQ79LCW;79343,01;0,0;100,0;100,0;1306,88;6,99
FJAF09OWD;21942,83;0,0;100,0;100,0;1212,95;17,93
FJAM67ERH;388996,22;0,0;100,0;100,0;4663,86;9,47
FJOZ43CSH;52647,03;0,0;100,0;100,0;898,79;10,31
FJUA69DZU;9903,01;0,0;100,0;100,0;250,87;18,55
FJVE86HCI;576256,88;0,0;100,0;100,0;92838,59;10,0
FKKM55CDJ;39935,38;0,0;100,0;100,0;1215,56;26,86
FKTJ89LEA;132109,12;0,0;100,0;100,0;8821,36;20,88
FLFD69QMH;270497,86;1,13;98,99;98,87;6125,18;10,05
FMLD62KEI;178124,0;0,0;100,0;100,0;562,33;11,53
FMPX53XWF;42170,52;0,0;100,0;100,0;973,8;36,15
FNEA23ISC;53476,55;0,0;100,0;100,0;1354,87;7,52
FNVU51FNV;50974,67;0,0;100,0;100,0;768,45;10,57
FOBR22MSN;4627,97;0,0;100,0;100,0;1281,42;557,63
FOBV94GVR;745754,45;0,0;100,0;100,0;59768,87;10,3
FOGA28EEH;29367,01;0,0;100,0;100,0;557,14;9,81
FOII60HZR;4,54;0,0;100,0;100,0;105,58;137,53
FOIO82HHP;424182,92;0,0;100,0;100,0;2269,88;7,28
FQDL25EZN;169,93;0,0;100,0;100,0;46,74;45,36
FQOF49BSR;37565,07;0,67;98,99;99,33;809,79;16,61
FQPR58URQ;726738,87;0,0;100,0;100,0;78301,12;8,44
FRAM30OZP;107677,81;0,0;100,0;100,0;709,4;6,93
FSCF22PDZ;80398,86;0,0;100,0;100,0;1870,72;6,04
FSNK66QLG;176472,75;0,0;100,0;100,0;1969,79;8,63
FSVM04JSS;115492,57;0,0;100,0;100,0;3447,97;22,16
FSYJ54YAN;3161,63;4,26;98,48;95,74;474,0;110,94
FTHK04EQC;24151,78;0,0;100,0;100,0;512,58;12,9
FTQE01RPT;158994,67;0,0;100,0;100,0;12068,55;10,4
FTQI85QCD;4295,16;0,0;100,0;100,0;828,48;2103,08
FTQW61QYL;38197,16;0,0;100,0;100,0;517,4;10,25
