sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
MZDF50AEP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NAXU89RZD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NCEI11YKK,0.0,0.0,,,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0,220
NCPJ09UJZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NDQP18XBW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NDRK17DGC,0.3,2.68,,,0.3,0.5,67.1,34.6,67.1,0.0,0.3,0,220
NGUY78QKM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NHIS13GJC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NMDA79SUI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NVVW86JNX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NWUT38TKO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
NYIT80DYM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OFMB75IFP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
OHPP53ZZE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
